Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2016R1606,2016,R16,TIO Stadium,8163,Melbourne,Fremantle,-12.3988,130.8853
2016R1603,2016,R16,GIANTS Stadium,13483,Greater Western Sydney,Collingwood,-33.8942,151.2293
2016R1609,2016,R16,Marvel Stadium,25204,Essendon,St Kilda,-37.8166,144.9475
2016R1608,2016,R16,Domain Stadium,35618,West Coast,North Melbourne,-31.94,115.825
2016R1607,2016,R16,Melbourne Cricket Ground,32430,Carlton,Adelaide,-37.82,144.9834
2016R1701,2016,R17,Sydney Cricket Ground,42314,Sydney,Hawthorn,-33.8915,151.2249
2016R1702,2016,R17,Domain Stadium,31042,Fremantle,Geelong,-31.94,115.825
2016R1706,2016,R17,Adelaide Oval,50002,Adelaide,Collingwood,-34.9155,138.5961
2016R1705,2016,R17,Cazaly's Stadium,8509,Western Bulldogs,Gold Coast,-16.9357,145.7491
2016R1704,2016,R17,Marvel Stadium,24361,North Melbourne,Port Adelaide,-37.8166,144.9475
2016R1703,2016,R17,Melbourne Cricket Ground,44908,Richmond,Essendon,-37.82,144.9834
2016R1708,2016,R17,Marvel Stadium,25322,St Kilda,Melbourne,-37.8166,144.9475
2016R1709,2016,R17,The Gabba,10195,Brisbane Lions,Greater Western Sydney,-27.4858,153.0381
2016R1707,2016,R17,Melbourne Cricket Ground,26389,Carlton,West Coast,-37.82,144.9834
2016R1801,2016,R18,Marvel Stadium,36041,Collingwood,North Melbourne,-37.8166,144.9475
2016R1803,2016,R18,Heritage Bank Stadium,8933,Gold Coast,Fremantle,-28.0063,153.3671
2016R1806,2016,R18,Marvel Stadium,26532,Western Bulldogs,St Kilda,-37.8166,144.9475
2016R1804,2016,R18,Domain Stadium,33908,West Coast,Melbourne,-31.94,115.825
2016R1805,2016,R18,GMHBA Stadium,21127,Geelong,Adelaide,-38.158,144.3547
2016R1802,2016,R18,Sydney Cricket Ground,31765,Sydney,Carlton,-33.8915,151.2249
2016R1809,2016,R18,Adelaide Oval,27935,Port Adelaide,Greater Western Sydney,-34.9155,138.5961
2016R1807,2016,R18,Marvel Stadium,34869,Essendon,Brisbane Lions,-37.8166,144.9475
2016R1808,2016,R18,Melbourne Cricket Ground,51892,Hawthorn,Richmond,-37.82,144.9834
2016R1901,2016,R19,GMHBA Stadium,24331,Geelong,Western Bulldogs,-38.158,144.3547
2016R1905,2016,R19,Marvel Stadium,44287,North Melbourne,St Kilda,-37.8166,144.9475
2016R1906,2016,R19,The Gabba,13085,Brisbane Lions,Port Adelaide,-27.4858,153.0381
2016R1904,2016,R19,Melbourne Cricket Ground,34929,Collingwood,West Coast,-37.82,144.9834
2016R1902,2016,R19,Manuka Oval,14974,Greater Western Sydney,Richmond,-35.3181,149.1347
2016R1903,2016,R19,University of Tasmania Stadium,18112,Hawthorn,Carlton,-41.426,147.139
2016R1909,2016,R19,Adelaide Oval,44264,Adelaide,Essendon,-34.9155,138.5961
2016R1908,2016,R19,Domain Stadium,32401,Fremantle,Sydney,-31.94,115.825
2016R1907,2016,R19,Melbourne Cricket Ground,20627,Melbourne,Gold Coast,-37.82,144.9834
2016R2001,2016,R20,Melbourne Cricket Ground,49122,Richmond,Collingwood,-37.82,144.9834
2016R2006,2016,R20,Adelaide Oval,43549,Adelaide,Brisbane Lions,-34.9155,138.5961
2016R2004,2016,R20,Heritage Bank Stadium,9108,Gold Coast,Greater Western Sydney,-28.0063,153.3671
2016R2005,2016,R20,Marvel Stadium,30740,Western Bulldogs,North Melbourne,-37.8166,144.9475
2016R2003,2016,R20,Melbourne Cricket Ground,38818,Melbourne,Hawthorn,-37.82,144.9834
2016R2002,2016,R20,Sydney Cricket Ground,30204,Sydney,Port Adelaide,-33.8915,151.2249
2016R2008,2016,R20,Marvel Stadium,29254,Geelong,Essendon,-37.8166,144.9475
2016R2009,2016,R20,Domain Stadium,36215,Fremantle,West Coast,-31.94,115.825
2016R2007,2016,R20,Melbourne Cricket Ground,37797,Carlton,St Kilda,-37.82,144.9834
2016R2101,2016,R21,Marvel Stadium,35010,Western Bulldogs,Collingwood,-37.8166,144.9475
2016R2106,2016,R21,Adelaide Oval,33426,Port Adelaide,Melbourne,-34.9155,138.5961
2016R2105,2016,R21,Marvel Stadium,33059,St Kilda,Sydney,-37.8166,144.9475
2016R2102,2016,R21,The Gabba,17432,Brisbane Lions,Carlton,-27.4858,153.0381
2016R2103,2016,R21,Melbourne Cricket Ground,50657,Hawthorn,North Melbourne,-37.82,144.9834
2016R2104,2016,R21,GIANTS Stadium,10385,Greater Western Sydney,West Coast,-33.8942,151.2293
2016R2107,2016,R21,Marvel Stadium,16622,Essendon,Gold Coast,-37.8166,144.9475
2016R2109,2016,R21,Domain Stadium,30116,Fremantle,Adelaide,-31.94,115.825
2016R2108,2016,R21,Melbourne Cricket Ground,45667,Richmond,Geelong,-37.82,144.9834
2016R2201,2016,R22,Domain Stadium,38581,West Coast,Hawthorn,-31.94,115.825
2016R2206,2016,R22,Adelaide Oval,49541,Port Adelaide,Adelaide,-34.9155,138.5961
